Facility_ID,Facility Name,Ward,Village/Street,Facility Type,Operating Status,Ownership,Latitude,Longitude,Facility_Zone,Facility_Region,Facility_District,Facility_Council,Facility_Location,Common_Facility_Name,Registration_ID,CTC_ID,MTUHA_Code,MSD_ID,Facility_Type,Facility_Ownership,Facility_Operating_Status,Facility_Registration_Status,Location_Description,Waypoint_Number,Altitude(Meters),Service_Areas(Villages),Catchment_Population,Date_Opened/Inaugurated/Upgraded,Year,Postal_Address,Postal_Code,Official_Phone_#,Official_Fax_#,Official_Email,Facility_In-Charge_Name,Facility_In-Charge_Cadre,Website
108439-1,2 Crown Dental,Not set,Not set,Dispensary,Closed,Private - For Profit,,,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Not set,Not set,Not set,Not set,Not set,Not set,Dispensary,Private - For Profit,Closed,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111824-9,361 KJ,Makongo,Mlalakuwa,Dispensary,Operating,Public - Military,,,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Within 361 KJ near Makongo sec school,361 KJ,Not set,Not set,Not set,Not set,Dispensary,Public - Military,Operating,Registered,Within 361 KJ near Makongo sec school,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100022-3,663 KJ,Nyamanoro,Not set,Dispensary,Closed,Public - Military,,,Lake Zone,Mwanza,Ilemela,Ilemela MC,Not set,Not set,Not set,Not set,Not set,Not set,Dispensary,Public - Military,Closed,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113180-4,A1 Eye Solutions,Maili Moja,Tangini,Clinic - Optometry Clinic,Operating,Private - For Profit,,,Eastern Zone,Pwani,Kibaha,Kibaha TC,Loliondo Road,Not set,52,Not set,Not set,Not set,Clinic - Optometry Clinic,Private - For Profit,Operating,Registered,Loliondo Road,Not set,Not set,Not set,Not set,31 05 2012,2012,Not set,Not set,655730650,Not set,ann_kmb@yahoo.co.uk,Bibiana Mtua Komba,Optometrist,Not set
112328-0,A2Z poly,Njoro,Railway,Clinic,Operating,Private - For Profit,,,Northern Zone,Kilimanjaro,Moshi,Moshi MC,Not set,Not set,Not set,Not set,Not set,Not set,Clinic,Private - For Profit,Operating,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111087-3,AAM International,Msasani,Mikoroshini,Clinic - Other Clinic,Closed,Private - For Profit,,,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Not set,AAM International,Not set,Not set,Not set,Not set,Clinic - Other Clinic,Private - For Profit,Closed,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113248-9,ABM,Mabibo,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Ubungo,Ubungo MC,Not set,Not set,PHL-C/UBG/AUT/04,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113178-8,Adon,Kahama Mjini,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Western Zone,Shinyanga,Kahama,Kahama TC,Not set,Not set,PHL-C/SHY/AUT/020,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113095-4,Adonai,Mbambabay,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Southern Zone,Ruvuma,Nyasa,Nyasa DC,Not set,Not set,PHL-C/RUV/AUT/030,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113460-0,Afya care,Kiwalani,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Karibu na Airport DSM,Not set,PHL-C/DSM-ILA/AUT/046,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Karibu na Airport DSM,Not set,Not set,Kipawa,6431,15 07 2002,2002,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113084-8,Afya kwanza,Mjini,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Southern Zone,Ruvuma,Songea,Songea MC,Not set,Not set,PHL-C/RUV/AUT/019,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113078-0,Afya yetu,Bombambili,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Southern Zone,Ruvuma,Songea,Songea MC,Not set,Not set,PHL-C/RUV/AUT/014,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112141-7,Afyatime,Chanika,Nzasa,Clinic - Specialized Polyclinic,Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Not set,Afyatime,72478,Not set,Not set,Not set,Clinic - Specialized Polyclinic,Private - For Profit,Operating,Registered,Not set,Not set,Not set,Chanika,6432,22 01 2019,2019,Not set,Not set,713308097,Not set,Not set,Dr Joshua Garrison,Not set,Not set
111928-8,Aga Khani Medical masaki,Msasani,Masaki,Dispensary,Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Not set,Aga Khani Medical Clinic Masaki,Hc 213/453/01/82,Not set,Not set,Not set,Dispensary,Private - For Profit,Operating,Registered,Not set,Not set,Not set,"masaki,Msasani",15000,Not set,Not set,Box 2889 Dsm,255,788 234 556,Not set,mikocheni.outreach@alchst.org,Dr Riemann eay,Physician,Not set
110808-3,Agakhan Town,Mchafukoge,Mchafukoge,Health Center,Operating,Private - Faith based organization (FBO),,,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Opposite na Diamond Trust Bank,Agakhan Hospital,72424,Not set,Not set,Not set,Health Center,Private - Faith based organization (FBO),Operating,Registered,Opposite na Diamond Trust Bank,Not set,Not set,"Mchafukoge,kisutu,kivukoni and all side from DSM",12000,02 03 2015,Not set,P. BOX 2289,11105,+255 2221155151/2/3,Not set,Not set,Dr. Amira N. Baliram,Medical Doctor,Not set
113082-2,Agape,Wino,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111833-0,Aghaki,Igowole,Igowole,Dispensary,Operating,Public - LGA,,,Southern Highlands Zone,Iringa,Mufindi,Mufindi DC,KANISA LA EAGT-IGOWOLE,AGHAKI,Not set,Not set,Not set,Not set,Dispensary,Public - LGA,Operating,Not set,KANISA LA EAGT-IGOWOLE,Not set,Not set,IGOWOLE,14639,01 06 2018,2018,S.L.P 50 MAFINGA,Not set,Not set,Not set,Not set,RENATA MSIGWA,ENROLLED NURSE,Not set
113443-6,Airport M6,Ukonga,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Not set,Not set,PHL-C/DSM-ILA/AUT/044,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,"Kipawa, Ukonga",8732,10 06 2002,2002,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
110976-8,Akimu Maternity Home,Makoko,Bukanga,Maternity Home,Closed (Temporary),Private - For Profit,,,Lake Zone,Mara,Musoma,Musoma MC,Not set,Akimu Maternity Home,Not set,Not set,Not set,Not set,Maternity Home,Private - For Profit,Closed (Temporary),Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113080-6,Alfa,Namtumbo,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Southern Zone,Ruvuma,Namtumbo,Namtumbo DC,Not set,Not set,PHL-C/RUV/AUT/016,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111900-7,All smile,Kisutu,Kisutu,Clinic - Dental Clinic,Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Not set,Not set,Not set,Not set,Not set,Not set,Clinic - Dental Clinic,Private - For Profit,Operating,Registered,Not set,Not set,Not set,Kisutu,Not set,08 04 2014,2014,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112595-4,Alpha Family Healthcare,Wazo,Salasala,Clinic - Other Clinic,Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Not set,Not set,Not set,Not set,Not set,Not set,Clinic - Other Clinic,Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,28 09 2018,2018,Box 66570,Not set,769 198 432,Not set,Not set,Dr Ringo E Mtei,Medical Officer,Not set
100095-9,ALT,Sinza,Sinza A,Dispensary,Closed,Private - For Profit,,,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Not set,Not set,Not set,Not set,Not set,Not set,Dispensary,Private - For Profit,Closed,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113497-2,ALT Centre,Kinondoni,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Not set,Not set,PHL-C/DSM-KIN/AUT/019,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113092-1,Amanda,Mahanje,Madaba,Health Labs - Level IA2 (Dispensary Laboratory),Closed,Private - For Profit,,,Southern Zone,Ruvuma,Songea,Madaba DC,Not set,Not set,PHL-C/RUV/AUT/027,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Closed,Not Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
