Facility_ID,Type of Infrastructure,Value
108439-1,Source_of_Energy,Not set
111824-9,Source_of_Energy,National Grid
100022-3,Source_of_Energy,Not set
113180-4,Source_of_Energy,National Grid
112328-0,Source_of_Energy,Not set
111087-3,Source_of_Energy,Not set
113248-9,Source_of_Energy,Not set
113178-8,Source_of_Energy,Not set
113095-4,Source_of_Energy,Not set
113460-0,Source_of_Energy,National Grid
113084-8,Source_of_Energy,Not set
113078-0,Source_of_Energy,Not set
112141-7,Source_of_Energy,National Grid
111928-8,Source_of_Energy,Generator
110808-3,Source_of_Energy,National Grid
113082-2,Source_of_Energy,Not set
111833-0,Source_of_Energy,National Grid
113443-6,Source_of_Energy,National Grid
110976-8,Source_of_Energy,Not set
113080-6,Source_of_Energy,Not set
111900-7,Source_of_Energy,National Grid
112595-4,Source_of_Energy,Not set
100095-9,Source_of_Energy,Not set
113497-2,Source_of_Energy,Not set
113092-1,Source_of_Energy,Not set
113064-0,Source_of_Energy,Not set
113069-9,Source_of_Energy,Not set
100103-1,Source_of_Energy,Not set
113100-2,Source_of_Energy,Not set
111548-4,Source_of_Energy,Not set
111908-0,Source_of_Energy,Generator
111908-0,Source_of_Energy,Solar Panels
111942-9,Source_of_Energy,Not set
112694-5,Source_of_Energy,National Grid
113485-7,Source_of_Energy,Not set
113290-1,Source_of_Energy,Not set
113222-4,Source_of_Energy,Not set
111202-8,Source_of_Energy,National Grid
100141-1,Source_of_Energy,Not set
100145-2,Source_of_Energy,Not set
100146-0,Source_of_Energy,Not set
112149-0,Source_of_Energy,National Grid
100152-8,Source_of_Energy,Not set
111658-1,Source_of_Energy,National Grid
111658-1,Source_of_Energy,Solar Panels
110637-6,Source_of_Energy,Not set
111431-3,Source_of_Energy,National Grid
111334-9,Source_of_Energy,National Grid
112640-8,Source_of_Energy,Not set
112679-6,Source_of_Energy,Not set
111993-2,Source_of_Energy,Not set
112384-3,Source_of_Energy,Not set
112433-8,Source_of_Energy,National Grid
112946-9,Source_of_Energy,Not set
113015-2,Source_of_Energy,Not set
113682-9,Source_of_Energy,Not set
111719-1,Source_of_Energy,Not set
112568-1,Source_of_Energy,Not set
111419-8,Source_of_Energy,Not set
111914-8,Source_of_Energy,Not set
113493-1,Source_of_Energy,Not set
110129-4,Source_of_Energy,National Grid
110129-4,Source_of_Energy,Generator
111462-8,Source_of_Energy,Not set
109777-3,Source_of_Energy,Generator
112138-3,Source_of_Energy,National Grid
112138-3,Source_of_Energy,Solar Panels
110373-8,Source_of_Energy,Not set
100303-7,Source_of_Energy,Not set
110874-5,Source_of_Energy,Not set
112583-0,Source_of_Energy,Not set
112993-1,Source_of_Energy,National Grid
112721-6,Source_of_Energy,Not set
111841-3,Source_of_Energy,National Grid
111841-3,Source_of_Energy,Generator
113530-0,Source_of_Energy,Not set
112627-5,Source_of_Energy,Not set
112617-6,Source_of_Energy,National Grid
113161-4,Source_of_Energy,Not set
