Facility_ID,Reception_Room(s),Consultation_Room(s),Dressing_Room(s),Ward_Room(s),Injection_Room(s),Observation_Room(s),Remarks,Patient_Beds,Deliery_Beds,Baby_Cots,Ambulances,Cars,Motorcycles,Other_Transport,Sterilazation_and_Infection_Control,Means_of_Transport_to_Referral_Point,Distance_to_Referral_Point,Challanges/Remarks_to_Referral_Point,Other_Source_of_Energy,Other_Mobile_Networks,Other_Source_of_Water,Toilet_Remarks,Other_Waste_Management
108439-1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111824-9,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100022-3,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113180-4,Not set,1,Not set,Not set,Not set,Not set,Optical workshop room available,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Dustbins
112328-0,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111087-3,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113248-9,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113178-8,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113095-4,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113460-0,1,2,1,Not set,1,2,good,4,Not set,Not set,Not set,Not set,Not set,self car,self car,Self Refferal,15km,Traffic jam,Not set,Not set,Not set,Not set,Not set
113084-8,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113078-0,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112141-7,1,1,1,Not set,2,2,good,2,Not set,Not set,Not set,Not set,Not set,self car,self car,Self Refferal,20km,Traffic jam,Not set,Not set,Not set,Not set,Not set
111928-8,1,2,1,Not set,Not set,1,Not set,4,Not set,Not set,Not set,Not set,Not set,Not set,,Hired car,3 km,Traffick jam,Not set,Not set,Not set,Not set,Not set
110808-3,1,2,1,Not set,Not set,1,Not set,Not set,2,Not set,Not set,Not set,Not set,Not set,,Self Refferal,3m,Not set,Not set,Not set,Not set,Not set,Green waste management
113082-2,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111833-0,1,1,1,Not set,Not set,Not set,Not set,2,1,Not set,Not set,Not set,Not set,Not set,,Public transport by Bus,50,Weather Road-30KM,Not set,halotel,Not set,Not set,Not set
113443-6,1,2,1,Not set,1,2,Good,6,1,Not set,Not set,Not set,Not set,Not set,,Self RefferalHiring,10km,Traffic jam,Not set,Not set,Not set,Not set,Not set
110976-8,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113080-6,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111900-7,1,1,Not set,Not set,Not set,Not set,good,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,outsource
112595-4,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100095-9,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113497-2,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113092-1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113064-0,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113069-9,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100103-1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113100-2,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111548-4,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111908-0,1,2,1,1,Not set,2,Not set,4,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111942-9,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112694-5,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113485-7,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113290-1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113222-4,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111202-8,1,1,1,Not set,Not set,Not set,Not set,2,1,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100141-1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100145-2,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100146-0,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112149-0,1,2,1,Not set,Not set,2,Good,4,Not set,Not set,Not set,Not set,Not set,Not set,,Self Refferal,25,Traffic jam,Not set,Not set,Not set,Not set,Not set
100152-8,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111658-1,2,1,1,Not set,Not set,2,Not set,6,Not set,Not set,Not set,Not set,Not set,Not set,,Taxi,3,Traffic jam,Not set,Not set,Not set,Not set,Not set
110637-6,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111431-3,1,2,1,Not set,1,2,good,4,Not set,Not set,Not set,Not set,Not set,Not set,,Self Refferal,3m,Traffic jam,Not set,Not set,Not set,Not set,Not set
111334-9,1,1,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,1,Not set,Not set,,Private car,Km 3,No,Not set,Not set,Not set,Good condition,Not set
112640-8,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112679-6,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111993-2,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112384-3,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112433-8,1,3,1,Not set,Not set,2,Injection& dressing under one room,2,Not set,Not set,Not set,Not set,Not set,self transport,self transport,Self,5 KM,Traffic Jam,Not set,Not set,Not set,Not set,Contract to company
112946-9,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113015-2,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113682-9,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111719-1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
